quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
169,BASS,F_MIX_00319,62.0669387755102,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
169,DRUM,F_MIX_00319,62.0669387755102,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
170,DRUM,F_MIX_00321,62.43845804988662,DRUM_SUPPORTED,PRIMARY,True
171,BASS,F_MIX_00323,62.798367346938775,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
171,DRUM,F_MIX_00323,62.798367346938775,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
172,BASS,F_MIX_00324,63.181496598639455,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
172,DRUM,F_MIX_00324,63.181496598639455,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
173,DRUM,F_MIX_00326,63.54140589569161,DRUM_SUPPORTED,PRIMARY,True
173,DRUM,F_MIX_00325,63.46013605442177,DRUM_SUPPORTED,CONTEXT,False
174,DRUM,F_MIX_00327,63.80843537414966,DRUM_SUPPORTED,PRIMARY,True
175,DRUM,F_MIX_00328,64.24961451247165,DRUM_SUPPORTED,PRIMARY,True
176,DRUM,F_MIX_00330,64.62113378684808,DRUM_SUPPORTED,PRIMARY,True
176,DRUM,F_MIX_00329,64.51664399092971,DRUM_SUPPORTED,CONTEXT,False
177,DRUM,F_MIX_00332,64.98104308390023,DRUM_SUPPORTED,PRIMARY,True
178,DRUM,F_MIX_00334,65.34095238095239,DRUM_SUPPORTED,PRIMARY,True
179,DRUM,F_MIX_00335,65.70086167800453,DRUM_SUPPORTED,PRIMARY,True
180,BASS,F_MIX_00337,66.07238095238095,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
180,DRUM,F_MIX_00337,66.07238095238095,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
181,BASS,F_MIX_00338,66.42068027210884,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
181,DRUM,F_MIX_00338,66.42068027210884,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
182,BASS,F_MIX_00340,66.79219954648526,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
182,DRUM,F_MIX_00340,66.79219954648526,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
182,DRUM,F_MIX_00339,66.69931972789115,DRUM_SUPPORTED,CONTEXT,False
183,BASS,F_MIX_00341,67.1288888888889,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
183,DRUM,F_MIX_00341,67.1288888888889,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
184,DRUM,F_MIX_00343,67.5004081632653,DRUM_SUPPORTED,PRIMARY,True
185,DRUM,F_MIX_00345,67.87192743764173,DRUM_SUPPORTED,PRIMARY,True
186,DRUM,F_MIX_00347,68.20861678004535,DRUM_SUPPORTED,PRIMARY,True
186,DRUM,F_MIX_00346,68.1621768707483,DRUM_SUPPORTED,CONTEXT,False
