stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_01422,BASS_00707,DRUM_SUPPORTED,12637696,12637696,0.0
bass,F_MIX_01424,BASS_00708,DRUM_SUPPORTED,12654080,12654080,0.0
bass,F_MIX_01426,BASS_00711,DRUM_SUPPORTED,12669440,12669440,0.0
bass,F_MIX_01428,BASS_00712,DRUM_SUPPORTED,12686336,12686848,-11.609977324263038
bass,F_MIX_01430,BASS_00714,DRUM_SUPPORTED,12717568,12718080,-11.609977324263038
bass,F_MIX_01433,BASS_00715,DRUM_SUPPORTED,12733440,12733952,-11.609977324263038
bass,F_MIX_01442,BASS_00717,DRUM_SUPPORTED,12814336,12814848,-11.609977324263038
bass,F_MIX_01446,BASS_00719,DRUM_SUPPORTED,12861952,12861952,0.0
bass,F_MIX_01449,BASS_00720,DRUM_SUPPORTED,12894720,12894720,0.0
bass,F_MIX_01451,BASS_00721,DRUM_SUPPORTED,12911104,12911104,0.0
bass,F_MIX_01456,BASS_00723,DRUM_SUPPORTED,12958720,12958208,11.609977324263038
bass,F_MIX_01457,BASS_00725,UNKNOWN,12970496,12970496,0.0
bass,F_MIX_01458,BASS_00726,DRUM_SUPPORTED,12975104,12975616,-11.609977324263038
bass,F_MIX_01460,BASS_00727,DRUM_SUPPORTED,12990976,12991488,-11.609977324263038
bass,F_MIX_01462,BASS_00728,DRUM_SUPPORTED,13007360,13006848,11.609977324263038
bass,F_MIX_01467,BASS_00732,BASS_AND_DRUM_SUPPORTED,13054976,13054976,0.0
bass,F_MIX_01469,BASS_00733,DRUM_SUPPORTED,13071872,13071360,11.609977324263038
bass,F_MIX_01470,BASS_00734,BASS_AND_DRUM_SUPPORTED,13087744,13087232,11.609977324263038
bass,F_MIX_01471,BASS_00735,DRUM_SUPPORTED,13100032,13099520,11.609977324263038
bass,F_MIX_01472,BASS_00736,DRUM_SUPPORTED,13103616,13104128,-11.609977324263038
bass,F_MIX_01475,BASS_00738,UNKNOWN,13126656,13127168,-11.609977324263038
bass,F_MIX_01478,BASS_00739,DRUM_SUPPORTED,13152256,13152256,0.0
bass,F_MIX_01488,BASS_00743,DRUM_SUPPORTED,13233152,13233152,0.0
bass,F_MIX_01494,BASS_00744,DRUM_SUPPORTED,13265920,13265920,0.0
bass,F_MIX_01499,BASS_00745,DRUM_SUPPORTED,13297664,13298176,-11.609977324263038
bass,F_MIX_01505,BASS_00748,DRUM_SUPPORTED,13361664,13361664,0.0
bass,F_MIX_01506,BASS_00749,DRUM_SUPPORTED,13378048,13378048,0.0
bass,F_MIX_01507,BASS_00750,DRUM_SUPPORTED,13394432,13393920,11.609977324263038
bass,F_MIX_01508,BASS_00752,DRUM_SUPPORTED,13410304,13410816,-11.609977324263038
bass,F_MIX_01509,BASS_00753,DRUM_SUPPORTED,13426176,13426176,0.0
bass,F_MIX_01511,BASS_00754,DRUM_SUPPORTED,13443072,13443072,0.0
bass,F_MIX_01513,BASS_00755,BASS_AND_DRUM_SUPPORTED,13458944,13458944,0.0
bass,F_MIX_01515,BASS_00757,BASS_AND_DRUM_SUPPORTED,13491200,13491712,-11.609977324263038
bass,F_MIX_01516,BASS_00758,BASS_AND_DRUM_SUPPORTED,13507072,13507072,0.0
bass,F_MIX_01518,BASS_00759,DRUM_SUPPORTED,13523456,13523456,0.0
bass,F_MIX_01519,BASS_00760,BASS_AND_DRUM_SUPPORTED,13539328,13539328,0.0
bass,F_MIX_01520,BASS_00761,BASS_AND_DRUM_SUPPORTED,13555200,13555200,0.0
bass,F_MIX_01521,BASS_00762,BASS_AND_DRUM_SUPPORTED,13571072,13571072,0.0
bass,F_MIX_01523,BASS_00764,BASS_AND_DRUM_SUPPORTED,13587968,13587968,0.0
bass,F_MIX_01526,BASS_00766,BASS_SUPPORTED,13630976,13630464,11.609977324263038
bass,F_MIX_01527,BASS_00767,DRUM_SUPPORTED,13635072,13635072,0.0
bass,F_MIX_01531,BASS_00768,BASS_AND_DRUM_SUPPORTED,13667328,13667840,-11.609977324263038
bass,F_MIX_01534,BASS_00770,BASS_AND_DRUM_SUPPORTED,13699072,13699584,-11.609977324263038
bass,F_MIX_01536,BASS_00771,BASS_AND_DRUM_SUPPORTED,13715968,13715968,0.0
bass,F_MIX_01539,BASS_00774,DRUM_SUPPORTED,13764608,13764096,11.609977324263038
bass,F_MIX_01540,BASS_00775,DRUM_SUPPORTED,13781504,13781504,0.0
bass,F_MIX_01541,BASS_00776,DRUM_SUPPORTED,13797376,13797376,0.0
bass,F_MIX_01544,BASS_00778,BASS_AND_DRUM_SUPPORTED,13830144,13829632,11.609977324263038
bass,F_MIX_01545,BASS_00779,BASS_AND_DRUM_SUPPORTED,13846016,13846016,0.0
bass,F_MIX_01547,BASS_00780,BASS_AND_DRUM_SUPPORTED,13862400,13861888,11.609977324263038
bass,F_MIX_01549,BASS_00782,UNKNOWN,13890560,13890048,11.609977324263038
bass,F_MIX_01552,BASS_00784,BASS_AND_DRUM_SUPPORTED,13926912,13926912,0.0
bass,F_MIX_01555,BASS_00787,DRUM_SUPPORTED,13958144,13958656,-11.609977324263038
bass,F_MIX_01560,BASS_00791,BASS_AND_DRUM_SUPPORTED,14024192,14024192,0.0
bass,F_MIX_01563,BASS_00793,BASS_AND_DRUM_SUPPORTED,14056448,14056960,-11.609977324263038
bass,F_MIX_01565,BASS_00794,BASS_AND_DRUM_SUPPORTED,14073344,14072832,11.609977324263038
bass,F_MIX_01567,BASS_00795,BASS_AND_DRUM_SUPPORTED,14088704,14088704,0.0
bass,F_MIX_01568,BASS_00796,UNKNOWN,14100992,14100992,0.0
bass,F_MIX_01569,BASS_00798,BASS_AND_DRUM_SUPPORTED,14120448,14120448,0.0
bass,F_MIX_01572,BASS_00800,BASS_AND_DRUM_SUPPORTED,14153216,14153728,-11.609977324263038
bass,F_MIX_01573,BASS_00801,UNKNOWN,14165504,14164992,11.609977324263038
bass,F_MIX_01574,BASS_00803,DRUM_SUPPORTED,14185984,14186496,-11.609977324263038
bass,F_MIX_01577,BASS_00805,DRUM_SUPPORTED,14218752,14218752,0.0
bass,F_MIX_01579,BASS_00808,DRUM_SUPPORTED,14251520,14251008,11.609977324263038
bass,F_MIX_01582,BASS_00810,DRUM_SUPPORTED,14283264,14283264,0.0
bass,F_MIX_01584,BASS_00811,DRUM_SUPPORTED,14299136,14298624,11.609977324263038
bass,F_MIX_01585,BASS_00812,DRUM_SUPPORTED,14315520,14315520,0.0
bass,F_MIX_01587,BASS_00813,DRUM_SUPPORTED,14331904,14331392,11.609977324263038
bass,F_MIX_01588,BASS_00814,DRUM_SUPPORTED,14347264,14347776,-11.609977324263038
bass,F_MIX_01591,BASS_00816,BASS_AND_DRUM_SUPPORTED,14379520,14379520,0.0
bass,F_MIX_01596,BASS_00818,DRUM_SUPPORTED,14438912,14438400,11.609977324263038
bass,F_MIX_01604,BASS_00825,DRUM_SUPPORTED,14541312,14540800,11.609977324263038
bass,F_MIX_01605,BASS_00826,DRUM_SUPPORTED,14552576,14552064,11.609977324263038
drums,F_MIX_00000,DRUMS_00000,BASS_AND_DRUM_SUPPORTED,31744,31744,0.0
drums,F_MIX_00001,DRUMS_00001,DRUM_SUPPORTED,36864,36864,0.0
drums,F_MIX_00003,DRUMS_00002,DRUM_SUPPORTED,54272,54272,0.0
drums,F_MIX_00008,DRUMS_00003,DRUM_SUPPORTED,87040,87040,0.0
drums,F_MIX_00012,DRUMS_00006,DRUM_SUPPORTED,119296,118784,11.609977324263038
